,method,num_clusters,sse,silhouette,calinski-harabasz,davies-bouldin,eps,min_sample,linkage,threshold,branching_factor
0,kmeans,2,57058.294311365564,0.78167051452074,2007.532542591677,0.361560454528704,,,,,
1,kmeans,3,43238.27405417197,0.26361835545406415,1997.0979824064984,1.0624377748539906,,,,,
2,kmeans,4,37964.259307659944,0.2329059742171114,1710.8979596638992,1.2412054775442654,,,,,
3,kmeans,5,34076.28014235417,0.21995654197262499,1549.2706270837161,1.184462732241978,,,,,
4,kmeans,6,31141.442119134434,0.21362073341167934,1435.1943301047045,1.1235293175433865,,,,,
5,kmeans,7,29101.503889044532,0.1775743331123069,1328.6688493951895,1.2686947851706658,,,,,
6,kmeans,8,27733.699782163516,0.14938787062170897,1224.3676068741156,1.3716242742058,,,,,
7,kmeans,9,26601.798064688785,0.14070720977526335,1139.0012412037997,1.412625820103493,,,,,
8,kmeans,10,25749.985505868917,0.14045357370396067,1061.1359237599102,1.443092241893144,,,,,
9,kmeans,11,24943.498913979045,0.12968562182878998,999.251625180551,1.475715219194537,,,,,
10,kmeans,12,23911.0652492068,0.125840437219325,963.9004511207108,1.4309966558493146,,,,,
11,kmeans,13,23248.968563135917,0.12202328831855781,918.4884232501024,1.45614455455987,,,,,
12,kmeans,14,22110.699591887234,0.12834426165617155,907.8979396471354,1.356338397652504,,,,,
13,kmeans,15,21671.765886592013,0.1290960002634293,865.9918128014433,1.3754220685282108,,,,,
14,kmeans,16,21199.25013154886,0.11884575755555898,832.3158000782075,1.3789503668488259,,,,,
15,kmeans,17,20717.377388660814,0.11266285000947715,804.3532331003463,1.4330848623079133,,,,,
16,kmeans,18,20134.646444224905,0.12111816648983585,785.9039209423793,1.3408108513039196,,,,,
17,kmeans,19,19750.00878426678,0.11862241965572609,761.0542414158136,1.399283820247906,,,,,
18,kmeans,20,19343.50177855126,0.11068559681483661,740.6134307413109,1.4191792240049148,,,,,
19,kmeans,21,18944.947609930503,0.11603140690707558,722.6226537375067,1.3811816048167622,,,,,
20,kmeans,22,18630.46981797927,0.11520377531480312,703.0311942892406,1.395757534217869,,,,,
