,cluster_id,num_genes,enriched_go_terms
0,0,167,"[['GO:0009236', 'cobalamin biosynthetic process'], ['GO:0006412', 'translation'], ['GO:0006364', 'rRNA processing'], ['GO:0005840', 'ribosome'], ['GO:0005737', 'cytoplasm'], ['GO:0003735', 'structural constituent of ribosome'], ['GO:0000049', 'tRNA binding'], ['GO:0005524', 'ATP binding']]"
1,1,763,"[['GO:0000160', 'phosphorelay signal transduction system'], ['GO:0005737', 'cytoplasm']]"
2,2,100,[]
3,3,45,"[['GO:0006278', 'RNA-dependent DNA biosynthetic process'], ['GO:0006313', 'transposition, DNA-mediated'], ['GO:0003964', 'RNA-directed DNA polymerase activity'], ['GO:0004803', 'transposase activity'], ['GO:0004802', 'transketolase activity']]"
4,4,694,"[['GO:0006814', 'sodium ion transport'], ['GO:0005737', 'cytoplasm'], ['GO:0016655', 'oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor'], ['GO:0030170', 'pyridoxal phosphate binding'], ['GO:0006313', 'transposition, DNA-mediated'], ['GO:0004803', 'transposase activity'], ['GO:0003735', 'structural constituent of ribosome']]"
5,5,32,"[['GO:0006725', 'cellular aromatic compound metabolic process'], ['GO:0015049', 'methane monooxygenase activity']]"
6,6,24,"[['GO:0006935', 'chemotaxis'], ['GO:0007165', 'signal transduction'], ['GO:0000160', 'phosphorelay signal transduction system'], ['GO:0004888', 'transmembrane signaling receptor activity']]"
7,7,352,"[['GO:0071973', 'bacterial-type flagellum-dependent cell motility'], ['GO:0006099', 'tricarboxylic acid cycle'], ['GO:0044780', 'bacterial-type flagellum assembly'], ['GO:0005978', 'glycogen biosynthetic process'], ['GO:0004601', 'peroxidase activity'], ['GO:0051920', 'peroxiredoxin activity'], ['GO:0003677', 'DNA binding']]"
8,8,5,"[['GO:0009399', 'nitrogen fixation'], ['GO:0016612', 'molybdenum-iron nitrogenase complex'], ['GO:0018697', 'carbonyl sulfide nitrogenase activity'], ['GO:0016163', 'nitrogenase activity'], ['GO:0046872', 'metal ion binding']]"
9,9,276,"[['GO:0006412', 'translation'], ['GO:0000105', 'histidine biosynthetic process'], ['GO:0065002', 'intracellular protein transmembrane transport'], ['GO:0006605', 'protein targeting'], ['GO:0043952', 'protein transport by the Sec complex'], ['GO:0009099', 'valine biosynthetic process'], ['GO:0009097', 'isoleucine biosynthetic process'], ['GO:0006457', 'protein folding'], ['GO:0015986', 'ATP synthesis coupled proton transport'], ['GO:0006633', 'fatty acid biosynthetic process'], ['GO:0031564', 'transcription antitermination'], ['GO:0005737', 'cytoplasm'], ['GO:0005840', 'ribosome'], ['GO:0015934', 'large ribosomal subunit'], ['GO:0015935', 'small ribosomal subunit'], ['GO:0003735', 'structural constituent of ribosome'], ['GO:0019843', 'rRNA binding'], ['GO:0003924', 'GTPase activity'], ['GO:0015450', 'protein-transporting ATPase activity'], ['GO:0046933', 'proton-transporting ATP synthase activity, rotational mechanism'], ['GO:0051082', 'unfolded protein binding'], ['GO:0000287', 'magnesium ion binding'], ['GO:0005525', 'GTP binding'], ['GO:0016151', 'nickel cation binding'], ['GO:0016021', 'integral component of membrane'], ['GO:0016020', 'membrane']]"
10,10,47,"[['GO:0009399', 'nitrogen fixation'], ['GO:0022900', 'electron transport chain'], ['GO:0009055', 'electron transfer activity']]"
11,11,12,[]
12,12,280,"[['GO:0000917', 'division septum assembly'], ['GO:0006355', 'regulation of transcription, DNA-templated']]"
13,13,15,"[['GO:0052933', 'alcohol dehydrogenase (cytochrome c(L)) activity']]"
14,14,54,"[['GO:0006313', 'transposition, DNA-mediated'], ['GO:0006281', 'DNA repair'], ['GO:0009432', 'SOS response'], ['GO:0045892', 'negative regulation of transcription, DNA-templated'], ['GO:0004803', 'transposase activity'], ['GO:0003677', 'DNA binding']]"
15,15,317,"[['GO:0015419', 'ABC-type sulfate transporter activity'], ['GO:0005737', 'cytoplasm']]"
16,16,506,"[['GO:0016021', 'integral component of membrane']]"
17,17,500,"[['GO:0032775', 'DNA methylation on adenine'], ['GO:0009252', 'peptidoglycan biosynthetic process'], ['GO:0008170', 'N-methyltransferase activity'], ['GO:0009007', 'site-specific DNA-methyltransferase (adenine-specific) activity']]"
18,18,24,"[['GO:0006313', 'transposition, DNA-mediated'], ['GO:0004803', 'transposase activity'], ['GO:0003677', 'DNA binding']]"
