locus_tag,cluster_id,LanzaTech,MeOH,NO3_lowO2_slow_growth,NoCu,NoLanthanum,WT_control,WithLanthanum,aa3_KO,crotonic_acid,highCu,highO2_slow_growth,lowCH4,lowCu,lowO2_fast_growth,lowO2_low_iron_fast_growth,lowO2_slow_growth,medCu,slow_growth,uMax,unknown
EQU24_RS00110,9,-2.7796079810519045,-1.2393258241180285,-0.9615899307409568,0.04946818781630028,-1.7523481492981394,-1.4285924277623283,-1.7190371426275182,-0.7945609464939863,-0.9929181585584644,0.4442553236215977,-1.2598379437663587,-0.7779382119112629,-0.015646233980150102,-0.2590765103692144,-0.2639182568700181,-0.9923942545946284,0.41310984186671373,-1.421205782830107,0.2275823188179217,-1.3814944990401608
EQU24_RS00115,9,-0.543240406131708,-1.0874938565198655,-1.3479528481630554,-0.1284569437584738,-1.6484114194372212,-1.0965428925127416,-1.6334160772555877,-0.6390016448923778,-0.6654338120791209,0.6404139460213973,-1.0450046449562442,-0.6247497640521125,-0.010163094271993595,-0.04165628121523992,-0.8086477988824676,-0.8938046957828267,0.16525469764812348,-0.9327600838060018,0.22888548304150705,-1.067640353541058
EQU24_RS00505,9,-2.0651881274594213,-1.6944419960038164,-0.6585113898204933,-0.3731984391454729,-1.8160361987051816,-0.3617300942511979,-1.6974045530363202,-0.3930396667845329,-0.6336359064760615,0.7868369139333309,-0.9387318808763276,-0.23453308998954986,-0.2737825947404265,-0.02490125504368629,-0.5188363983827673,-0.9881322297059564,0.39135550154219095,-0.9619889707247784,0.2333442292702737,-1.7771902181401722
EQU24_RS00510,9,-1.8420607603496515,-1.6892514195928443,-1.0163366984798492,-0.6853621248728636,-2.7117528635743526,-0.8804341451174001,-2.535208144416264,-1.0381818488578851,-0.8703639787244817,0.3684908040249436,-1.4430896081087614,-0.5034623737144037,-0.3471805019388601,-0.10522504207590777,-0.5613269687698683,-1.2152531994349196,0.22822335997915374,-1.3426595155346328,0.2325725287873489,-1.6135264248076198
EQU24_RS00520,9,-0.57872428717377,-0.6219286450086405,-1.0733361195990614,-0.5786002742248083,-1.169236778063964,-0.9972697775721854,-1.0055925230934937,-1.051798507390678,-0.5295695773322121,-0.001243275808547328,-1.236887122097532,-0.8835625263361052,-0.3661078621929249,-0.041758623822260116,-0.8740149978346358,-0.9203227915782016,-0.0558372525438596,-1.0653172319418045,0.2320514325461045,-1.3260999758548078
EQU24_RS00530,9,-0.10997349812000712,-1.6648131640232746,-0.6325884412600834,-0.4181119967833517,-1.430977563107526,-0.9470861292351213,-1.4622850712162263,-0.5195221557421078,-0.3959302490796777,0.013286994512879513,-1.060649652136867,-0.8088512165997268,-0.2907753210477553,-0.004823386579477258,-0.6884697870273441,-0.9801908414627868,0.01453145733811269,-0.8149002891276015,0.2321866630122561,-1.4040108237649187
EQU24_RS00535,9,0.6747686459743671,-1.246590604703269,-0.5602746337698989,-0.5355296093235689,-1.499077962715333,-0.8153541880059044,-1.546250382299456,-0.6075602784369915,-0.12578269188682384,-0.28289039235836844,-1.014568730054026,-0.7682620407484988,-0.2483230600438597,-0.1262614003608628,-0.6516875203943482,-1.106455785944655,-0.1098399926744956,-0.8995893001649113,0.23243438878796566,-1.332171171366045
EQU24_RS00540,9,0.22264710084353054,-0.5108339270865447,-0.5523175366597105,-0.5465786074242196,-1.561797138955595,-0.9373751340884822,-1.456804896088596,-0.8466326886947356,0.02681529562271024,-0.18136332565326407,-0.9578661577764188,-0.18535292411116155,-0.2411528837137483,-0.2282234226775149,0.11787179789711852,-0.8481432969694594,0.20443298089787984,-0.8395430414743077,0.2270286608974425,-0.9711795891875544
EQU24_RS00545,9,-1.1256083887712902,-1.2474478480286764,-0.8425806850083899,-0.61584482371382,-1.1274973540166748,-1.2540352829689574,-1.0423332347963683,-1.1334857511506256,-0.4823519447993035,-0.197389093780668,-1.3188064902236651,-1.0963662432132597,-0.4625523102007363,-0.6598112391633062,-0.3120416360369834,-0.8527658114343315,-0.1359432384761703,-1.1991551029619527,0.19569402780974152,-1.1803628897350995
EQU24_RS00575,9,0.09944208191208076,-1.7007559652496165,-0.7417630794905083,-0.816046151212596,-2.0307043884132785,-0.914966662219744,-1.6923592854606977,-0.6915538961111284,-0.3982842273933945,-0.16565202981908098,-1.1257294896583057,-0.9825097889071588,-0.5073181708059218,-0.07935465751101331,-1.0382975934553007,-0.8576918633940634,-0.24254438709440884,-1.175976021383847,0.21748447511977975,-1.3490590462121026
EQU24_RS00890,9,0.4400706070164087,-1.0309296435805018,-0.9975002073887141,-0.4785265042993334,-1.180430893800432,-0.7852233202476026,-1.2385383029990604,-0.3959642202508792,-0.8652573926835524,0.3558049858115309,-1.177805618193935,-0.6407752758152193,-0.3611578410769102,-0.16645349033563075,-0.8749355934883032,-1.187219495007248,-0.03663869436647347,-0.8158396292442561,0.22583744192820066,-0.8016291803344158
EQU24_RS00895,9,-1.3274597762149765,-1.1007359203788016,-1.147080485401219,-0.6675678863035861,-1.114818263060467,-1.0885776616049725,-1.053761841152692,-0.6257692933449029,-1.2301630264353889,-0.12311941409588235,-1.4468426063491038,-1.1454824132445824,-0.5881009798556743,-0.2510383733884108,-1.2001288569668875,-1.4123277347832697,-0.2374725474471793,-0.9938406661450226,0.2262467122646807,-0.7949001226284537
EQU24_RS02005,9,-0.4370231862110681,-0.21510674229969365,-1.217335035461557,-0.509787700338803,-1.6421338988608292,-1.3423723120623574,-1.8539229602107756,-0.9328665480711104,-0.8176308011462774,-0.394371481236492,-1.17308213597334,-0.2552354297696543,-0.7036104337565895,-0.6310758393712047,-0.2209909768550837,-1.3840259614290118,-0.5777858812440899,-1.2106540222985949,0.21511958112526106,-0.6788808688957465
EQU24_RS02010,9,-0.3763898871704037,-1.1288425381374243,-1.05110577390299,-0.07864331352442751,-0.991240271437488,-0.7003101941355379,-1.1888038931932148,-0.3699029153533255,-0.6287648938682185,0.4249387710069529,-0.6135250466928673,-1.0471948903237356,-0.07521341773237666,-0.6700563066467072,-0.6812533285818362,-1.033541201795927,0.21443139592371085,-0.30815454063332137,0.205071104297174,-1.0179387329574971
EQU24_RS02030,9,-1.371961880172348,-1.056036434747061,-0.9903812696432168,-0.4526321568710553,-1.1314281638842874,-1.1076911230713034,-1.2500750002640908,-0.6234274198914184,-0.5841191532655269,0.1902341677993845,-1.2510670789646503,-0.9618963564033274,-0.6176770577858994,-0.33624065300633976,-0.8431753703707854,-1.256747259498509,-0.30148720117890504,-1.2520147918225648,0.2203165918170732,0.16479544442413524
EQU24_RS02350,9,-1.063608465107953,-1.7759198549509077,-1.3658555337566822,-0.451180574971753,-1.6782433689469969,0.21290215022704564,-1.5101999044370162,-0.4046911414476642,0.046026516122233116,-0.02003901376359396,-1.259639635794583,-1.621690025753486,-0.2130355201194036,-0.3862335551476162,-1.1581034719806196,-0.708255649029965,0.35368561516374736,-1.157232267987113,0.190614874499566,-0.26332904356303505
EQU24_RS02660,9,-0.6353351476172729,-1.160361107624874,-0.8288703574298346,-0.3667591345887718,-1.3468712329601156,-0.4969063462950795,-1.2157259574369614,-0.17999805183281825,-0.5717792816133116,0.15021938620936778,-0.5981312477155989,0.07436530559220983,-0.21346211264097864,-0.31509042062012194,-0.07110055633185274,-0.442416853624474,-0.024835731780273304,-0.15106080934957672,0.2289249844668337,-1.5224721262782543
EQU24_RS03120,9,-1.0224552891718823,-1.0338770764133045,-0.926026125491038,-0.3610184461052581,-1.3677173588228342,-0.9431725870083528,-1.2033971296957269,-0.36056345076075225,-0.2369376181324833,0.04996071517128814,-0.5370861694513753,-0.35881470631813844,-0.2361253974534735,-0.6850938098932055,-0.3271471935084899,-0.4910820622062606,0.2765540832894752,-0.7147395078729947,0.1956581666090456,-1.1908572606519907
EQU24_RS03135,9,-0.3260226457461235,-0.6986921356390844,-0.8695169235877943,-0.5198742936162986,-1.5574723584514338,-0.9564971942653374,-1.4937264202037377,-0.5854314306774449,-0.30552262775849864,0.036571900689418284,-0.601792111337965,-0.22525656068533664,-0.3911065395168193,0.1279188184446809,-0.2906127549186747,-0.7513989754872255,0.0541463091067764,-1.0695450094721486,0.22104549973106374,-0.6550218457078635
EQU24_RS03140,9,-0.8532390280227518,-0.051205807173071965,-0.982229493606173,-0.4727006535193105,-1.8669430680232988,-1.2181849474853204,-1.6999537650558767,-0.7164184240269942,-0.5464577481007821,0.1487697642221044,-0.3871328479321319,0.023954160994830758,-0.22469310288045544,-0.09036115984025483,0.2918191223435725,-0.6413115971253859,0.4540043802801381,-0.8009564264420548,0.21974602806558846,-0.9860255073412258
EQU24_RS03145,9,-0.4592519666826976,-0.8457517922247428,-0.8075667919631978,-0.3032082242804474,-1.7373448801493243,-0.7105695750549049,-1.7191202256522606,-0.2254178351089284,-0.4117597012469564,0.3962101308299472,-0.49201618650552603,-0.1925798558837258,-0.1186448383267526,-0.4531704849975241,-0.02029765983034008,-0.4636010021178691,0.578182348006667,-1.0209026375738364,0.21468521029903195,-1.2801287928024203
EQU24_RS03150,9,-0.21477622893529347,-0.8033530007750549,-0.9626706835629326,-0.7986054610496021,-2.0002551581704413,-0.7662892319370509,-1.8392652128378555,-0.7962579905228951,-0.3737411483450379,-0.2309203402595981,-0.8125609691152813,-0.20834701720675652,-0.7132155853349271,0.2883071407784427,-0.7415353278778559,-1.2629897429261747,-0.21465194616601524,-1.4615951221820322,0.21679210095007395,-0.9676032590818724
EQU24_RS03155,9,-2.403574043957041,-0.5055668384573068,-1.1378443452859843,-0.4268577207949847,-1.8893513568684968,-1.1514932168470742,-1.7238110825939852,-0.924631423352707,-1.0877269120166286,0.2935257948760924,-0.6480019602640035,-0.6218789999514891,-0.4424496208906,-0.12950439850520126,-0.5479597415031714,-0.5905147434400568,0.14609691452991674,-1.396794619956791,0.2165981802972992,-1.3864416452153392
