locus_tag,cluster_id,uMax,MeOH,NoCu,lowCu,medCu,highCu,LanzaTech,lowCH4,lowO2_fast_growth,aa3_KO,NO3_lowO2_slow_growth,highO2_slow_growth,lowO2_slow_growth,lowO2_fast_growth,lowO2_low_iron_fast_growth,WithLanthanum,NoLanthanum,crotonic_acid,slow_growth,unknown
EQU24_RS00625,3,-8.100580328416449,-4.04549707291707,-4.4768208942586645,-4.576664759431538,-5.093724169614325,-6.203185074185388,-4.073107617908476,-5.455188534148995,-6.805237305571993,-3.4330618430285176,-4.333912579918584,-4.9278961966035135,-2.2710776863528057,-6.805237305571993,-5.343722502220613,-2.8317575211344828,-3.7498491204784714,-4.942519835819935,-3.8908719199245287,-3.512802075046041
EQU24_RS00630,3,-8.100580328416449,-4.04549707291707,-4.4768208942586645,-4.576664759431538,-5.093724169614325,-6.203185074185388,-4.073107617908476,-5.455188534148995,-6.805237305571993,-3.4330618430285176,-4.333912579918584,-4.9278961966035135,-2.2710776863528057,-6.805237305571993,-5.343722502220613,-3.5106010787807738,-3.8913206530083566,-4.942519835819935,-3.8908719199245287,-3.512802075046041
EQU24_RS00635,3,-8.100580328416449,-4.04549707291707,-4.4768208942586645,-4.576664759431538,-5.093724169614325,-6.203185074185388,-4.073107617908476,-5.455188534148995,-6.805237305571993,-3.4330618430285176,-4.333912579918584,-4.9278961966035135,-2.2710776863528057,-6.805237305571993,-5.343722502220613,-3.5106010787807738,-3.8913206530083566,-4.942519835819935,-3.8908719199245287,-3.512802075046041
EQU24_RS00640,3,-8.100580328416449,-4.04549707291707,-4.4768208942586645,-4.576664759431538,-5.093724169614325,-6.203185074185388,-4.073107617908476,-5.455188534148995,-6.805237305571993,-3.4330618430285176,-4.333912579918584,-4.9278961966035135,-2.2710776863528057,-6.805237305571993,-5.343722502220613,-2.800556269407973,-3.0706565199641385,-4.942519835819935,-3.8908719199245287,-3.512802075046041
EQU24_RS00645,3,-8.100580328416449,-4.04549707291707,-4.4768208942586645,-4.576664759431538,-5.093724169614325,-6.203185074185388,-4.073107617908476,-5.455188534148995,-6.805237305571993,-3.4330618430285176,-4.333912579918584,-4.9278961966035135,-2.2710776863528057,-6.805237305571993,-5.343722502220613,-2.9719907009677784,-3.8913206530083566,-4.942519835819935,-3.8908719199245287,-3.512802075046041
EQU24_RS01445,3,-8.100580328416449,-4.04549707291707,-4.4768208942586645,-4.576664759431538,-5.093724169614325,-6.203185074185388,-4.073107617908476,-5.455188534148995,-6.805237305571993,-3.4330618430285176,-4.333912579918584,-4.9278961966035135,-2.2710776863528057,-6.805237305571993,-5.343722502220613,-3.068908073998413,-3.8913206530083566,-4.942519835819935,-3.8908719199245287,-3.512802075046041
EQU24_RS02735,3,-8.100580328416449,-4.04549707291707,-4.4768208942586645,-4.576664759431538,-5.093724169614325,-6.203185074185388,-4.073107617908476,-5.455188534148995,-6.805237305571993,-3.4330618430285176,-4.333912579918584,-4.9278961966035135,-2.2710776863528057,-6.805237305571993,-5.343722502220613,-3.5106010787807738,-3.8913206530083566,-4.942519835819935,-3.8908719199245287,-3.512802075046041
EQU24_RS02740,3,-8.100580328416449,-4.04549707291707,-4.4768208942586645,-4.576664759431538,-5.093724169614325,-6.203185074185388,-4.073107617908476,-5.455188534148995,-6.805237305571993,-3.4330618430285176,-4.333912579918584,-4.9278961966035135,-2.2710776863528057,-6.805237305571993,-5.343722502220613,-3.5106010787807738,-3.8913206530083566,-4.942519835819935,-3.8908719199245287,-3.512802075046041
EQU24_RS02745,3,-8.100580328416449,-4.04549707291707,-4.4768208942586645,-4.576664759431538,-5.093724169614325,-6.203185074185388,-4.073107617908476,-5.455188534148995,-6.805237305571993,-3.4330618430285176,-4.333912579918584,-4.9278961966035135,-2.2710776863528057,-6.805237305571993,-5.343722502220613,-3.5106010787807738,-3.8913206530083566,-4.942519835819935,-3.8908719199245287,-3.512802075046041
EQU24_RS02750,3,-8.100580328416449,-4.04549707291707,-4.4768208942586645,-4.576664759431538,-5.093724169614325,-6.203185074185388,-4.073107617908476,-5.455188534148995,-6.805237305571993,-3.4330618430285176,-4.333912579918584,-4.9278961966035135,-2.2710776863528057,-6.805237305571993,-5.343722502220613,-3.5106010787807738,-3.8913206530083566,-4.942519835819935,-3.8908719199245287,-3.512802075046041
EQU24_RS02755,3,-8.100580328416449,-4.04549707291707,-4.4768208942586645,-4.576664759431538,-5.093724169614325,-6.203185074185388,-4.073107617908476,-5.455188534148995,-6.805237305571993,-3.4330618430285176,-4.333912579918584,-4.9278961966035135,-2.2710776863528057,-6.805237305571993,-5.343722502220613,-3.5106010787807738,-3.8913206530083566,-4.942519835819935,-3.8908719199245287,-3.512802075046041
EQU24_RS03465,3,-8.100580328416449,-4.04549707291707,-4.4768208942586645,-4.576664759431538,-5.093724169614325,-6.203185074185388,-4.073107617908476,-5.455188534148995,-6.805237305571993,-3.4330618430285176,-4.333912579918584,-4.9278961966035135,-2.2710776863528057,-6.805237305571993,-5.343722502220613,-2.282981308401601,-2.21865630051141,-4.942519835819935,-3.8908719199245287,-3.512802075046041
EQU24_RS03550,3,-8.100580328416449,-4.04549707291707,-4.4768208942586645,-4.576664759431538,-5.093724169614325,-6.203185074185388,-4.073107617908476,-5.455188534148995,-6.805237305571993,-3.4330618430285176,-4.333912579918584,-4.9278961966035135,-2.2710776863528057,-6.805237305571993,-5.343722502220613,-2.7101386635813527,-2.8205403206493376,-4.942519835819935,-3.8908719199245287,-3.512802075046041
EQU24_RS04130,3,-8.100580328416449,-4.04549707291707,-4.4768208942586645,-4.576664759431538,-5.093724169614325,-6.203185074185388,-4.073107617908476,-5.455188534148995,-6.805237305571993,-3.4330618430285176,-4.333912579918584,-4.9278961966035135,-2.2710776863528057,-6.805237305571993,-5.343722502220613,-1.726390086197814,-2.1368696340013456,-4.942519835819935,-3.8908719199245287,-3.512802075046041
EQU24_RS04230,3,-8.100580328416449,-4.04549707291707,-4.4768208942586645,-4.576664759431538,-5.093724169614325,-6.203185074185388,-4.073107617908476,-5.455188534148995,-6.805237305571993,-3.4330618430285176,-4.333912579918584,-4.9278961966035135,-2.2710776863528057,-6.805237305571993,-5.343722502220613,-3.0095938648431093,-3.8913206530083566,-4.942519835819935,-3.8908719199245287,-3.512802075046041
EQU24_RS05785,3,-8.100580328416449,-4.04549707291707,-4.4768208942586645,-4.576664759431538,-5.093724169614325,-6.203185074185388,-4.073107617908476,-5.455188534148995,-6.805237305571993,-3.4330618430285176,-4.333912579918584,-4.9278961966035135,-2.2710776863528057,-6.805237305571993,-5.343722502220613,-2.009325383316749,-2.546888554250065,-4.942519835819935,-3.8908719199245287,-3.512802075046041
EQU24_RS06860,3,-8.100580328416449,-4.04549707291707,-4.4768208942586645,-4.576664759431538,-5.093724169614325,-6.203185074185388,-4.073107617908476,-5.455188534148995,-6.805237305571993,-3.4330618430285176,-4.333912579918584,-4.9278961966035135,-2.2710776863528057,-6.805237305571993,-5.343722502220613,-1.292120260967665,-1.0921165139750386,-4.942519835819935,-3.8908719199245287,-3.512802075046041
EQU24_RS07485,3,-8.100580328416449,-4.04549707291707,-4.4768208942586645,-4.576664759431538,-5.093724169614325,-6.203185074185388,-4.073107617908476,-5.455188534148995,-6.805237305571993,-3.4330618430285176,-4.333912579918584,-4.9278961966035135,-2.2710776863528057,-6.805237305571993,-5.343722502220613,-0.7454994746214908,-0.6387739550239664,-4.942519835819935,-3.8908719199245287,-3.512802075046041
EQU24_RS08045,3,-8.100580328416449,-4.04549707291707,-4.4768208942586645,-4.576664759431538,-5.093724169614325,-6.203185074185388,-4.073107617908476,-5.455188534148995,-6.805237305571993,-3.4330618430285176,-4.333912579918584,-4.9278961966035135,-2.2710776863528057,-6.805237305571993,-5.343722502220613,-1.8860230762472532,-2.4905439406311505,-4.942519835819935,-3.8908719199245287,-3.512802075046041
EQU24_RS08835,3,-8.100580328416449,-4.04549707291707,-4.4768208942586645,-4.576664759431538,-5.093724169614325,-6.203185074185388,-4.073107617908476,-5.455188534148995,-6.805237305571993,-3.4330618430285176,-4.333912579918584,-4.9278961966035135,-2.2710776863528057,-6.805237305571993,-5.343722502220613,-2.296423823463124,-3.0717432418485844,-4.942519835819935,-3.8908719199245287,-3.512802075046041
EQU24_RS08845,3,-8.100580328416449,-4.04549707291707,-4.4768208942586645,-4.576664759431538,-5.093724169614325,-6.203185074185388,-4.073107617908476,-5.455188534148995,-6.805237305571993,-3.4330618430285176,-4.333912579918584,-4.9278961966035135,-2.2710776863528057,-6.805237305571993,-5.343722502220613,-2.60592522589908,-3.0435671357551466,-4.942519835819935,-3.8908719199245287,-3.512802075046041
EQU24_RS08860,3,-8.100580328416449,-4.04549707291707,-4.4768208942586645,-4.576664759431538,-5.093724169614325,-6.203185074185388,-4.073107617908476,-5.455188534148995,-6.805237305571993,-3.4330618430285176,-4.333912579918584,-4.9278961966035135,-2.2710776863528057,-6.805237305571993,-5.343722502220613,-3.5106010787807738,-3.8913206530083566,-4.942519835819935,-3.8908719199245287,-3.512802075046041
EQU24_RS09300,3,-8.100580328416449,-4.04549707291707,-4.4768208942586645,-4.576664759431538,-5.093724169614325,-6.203185074185388,-4.073107617908476,-5.455188534148995,-6.805237305571993,-3.4330618430285176,-4.333912579918584,-4.9278961966035135,-2.2710776863528057,-6.805237305571993,-5.343722502220613,-1.5547983766563598,-2.0884739539768638,-4.942519835819935,-3.8908719199245287,-3.512802075046041
EQU24_RS09560,3,-8.100580328416449,-4.04549707291707,-4.4768208942586645,-4.576664759431538,-5.093724169614325,-6.203185074185388,-4.073107617908476,-5.455188534148995,-6.805237305571993,-3.4330618430285176,-4.333912579918584,-4.9278961966035135,-2.2710776863528057,-6.805237305571993,-5.343722502220613,-3.5106010787807738,-3.420542580858694,-4.942519835819935,-3.8908719199245287,-3.512802075046041
EQU24_RS11380,3,-8.100580328416449,-4.04549707291707,-4.4768208942586645,-4.576664759431538,-5.093724169614325,-6.203185074185388,-4.073107617908476,-5.455188534148995,-6.805237305571993,-3.4330618430285176,-4.333912579918584,-4.9278961966035135,-2.2710776863528057,-6.805237305571993,-5.343722502220613,-1.638935602534463,-1.791008361913076,-4.942519835819935,-3.8908719199245287,-3.512802075046041
EQU24_RS12090,3,-8.100580328416449,-4.04549707291707,-4.4768208942586645,-4.576664759431538,-5.093724169614325,-6.203185074185388,-4.073107617908476,-5.455188534148995,-6.805237305571993,-3.4330618430285176,-4.333912579918584,-4.9278961966035135,-2.2710776863528057,-6.805237305571993,-5.343722502220613,-2.0204090877986802,-2.9697092378716548,-4.942519835819935,-3.8908719199245287,-3.512802075046041
EQU24_RS12810,3,-8.100580328416449,-4.04549707291707,-4.4768208942586645,-4.576664759431538,-5.093724169614325,-6.203185074185388,-4.073107617908476,-5.455188534148995,-6.805237305571993,-3.4330618430285176,-4.333912579918584,-4.9278961966035135,-2.2710776863528057,-6.805237305571993,-5.343722502220613,-3.5106010787807738,-3.8913206530083566,-4.942519835819935,-3.8908719199245287,-3.512802075046041
EQU24_RS12820,3,-8.100580328416449,-4.04549707291707,-4.4768208942586645,-4.576664759431538,-5.093724169614325,-6.203185074185388,-4.073107617908476,-5.455188534148995,-6.805237305571993,-3.4330618430285176,-4.333912579918584,-4.9278961966035135,-2.2710776863528057,-6.805237305571993,-5.343722502220613,0.44713160603857205,1.1143565787733682,-4.942519835819935,-3.8908719199245287,-3.512802075046041
EQU24_RS12825,3,-8.100580328416449,-4.04549707291707,-4.4768208942586645,-4.576664759431538,-5.093724169614325,-6.203185074185388,-4.073107617908476,-5.455188534148995,-6.805237305571993,-3.4330618430285176,-4.333912579918584,-4.9278961966035135,-2.2710776863528057,-6.805237305571993,-5.343722502220613,-3.0200258193769502,-3.2966134213633924,-4.942519835819935,-3.8908719199245287,-3.512802075046041
EQU24_RS16040,3,-7.494884459774287,-4.0693699975385424,-4.496539855200606,-4.597192715176947,-5.117105694099767,-6.2311757741130815,-4.093290690952603,-5.4828386144647405,-6.299534164792447,-2.87297376681136,-3.4848917959923265,-4.219027529836529,-2.2859914637406384,-6.299534164792447,-5.369371679098358,-0.988096039957112,-0.7830982931728251,-3.3455989111149758,-3.9093979505575787,-3.531012991130416
EQU24_RS16985,3,-8.100580328416449,-4.04549707291707,-4.4768208942586645,-4.576664759431538,-5.093724169614325,-6.203185074185388,-4.073107617908476,-5.455188534148995,-6.805237305571993,-3.4330618430285176,-4.333912579918584,-4.9278961966035135,-2.2710776863528057,-6.805237305571993,-5.343722502220613,-0.7615485174338203,-0.713290961440657,-4.942519835819935,-3.8908719199245287,-3.512802075046041
EQU24_RS17885,3,-8.100580328416449,-4.04549707291707,-4.4768208942586645,-4.576664759431538,-5.093724169614325,-6.203185074185388,-4.073107617908476,-5.455188534148995,-6.805237305571993,-3.4330618430285176,-4.333912579918584,-4.9278961966035135,-2.2710776863528057,-6.805237305571993,-5.343722502220613,-0.22415857222753952,-0.2478437755920445,-4.942519835819935,-3.8908719199245287,-3.512802075046041
EQU24_RS18835,3,-8.100580328416449,-4.04549707291707,-4.4768208942586645,-4.576664759431538,-5.093724169614325,-6.203185074185388,-4.073107617908476,-5.455188534148995,-6.805237305571993,-3.4330618430285176,-4.333912579918584,-4.9278961966035135,-2.2710776863528057,-6.805237305571993,-5.343722502220613,-3.5106010787807738,-3.8913206530083566,-4.942519835819935,-3.8908719199245287,-3.512802075046041
