group	locus_id	gene	product	notes	
nif	EQU24_RS17345	nifV	homocitrate synthase		
nif	EQU24_RS17340	cysE(nifP?)	serine O-acetyltransferase		
nif	EQU24_RS17335		hypothetical protein		
nif	EQU24_RS17330		(2Fe-2S) ferredoxin domain-containing protein		
nif	EQU24_RS17325		hypothetical protein		
nif	EQU24_RS17315		hypothetical protein		
nif	EQU24_RS17310		hypothetical protein		
nif	EQU24_RS17305		4Fe-4S dicluster domain-containing protein		
nif	EQU24_RS17300		hypothetical protein		
nif	EQU24_RS17295		thiosulfate sulfurtransferase GlpE		
nif	EQU24_RS17290	nifY	dinitrogenase iron-molybdenum cofactor biosynthesis protein		
nif	EQU24_RS17285	draG	ADP-ribosyl-[dinitrogen reductase] hydrolase		
nif	EQU24_RS17280	draT	NAD(+)--dinitrogen-reductase ADP-D-ribosyltransferase		
nif	EQU24_RS17275	nifA	nif-specific transcriptional activator NifA		
nif	EQU24_RS17270	nifL	nitrogen fixation negative regulator NifL		
nif	EQU24_RS17265	rsxA	electron transport complex subunit RsxA		
nif	EQU24_RS17260	rsxB	RnfABCDGE type electron transport complex subunit B		
nif	EQU24_RS17255	rsxC	electron transport complex subunit RsxC		
nif	EQU24_RS17250	rsxD	RnfABCDGE type electron transport complex subunit D		
nif	EQU24_RS17245	rsxG	electron transport complex subunit RsxG		
nif	EQU24_RS17240	rsxE	electron transport complex subunit E		
nif	EQU24_RS17235	rnfH	RnfH family protein		
nif	EQU24_RS17230	nifB	nitrogenase cofactor biosynthesis protein NifB		
nif	EQU24_RS17225		ferredoxin		
nif	EQU24_RS17220		nitrogenase-associated protein		
nif	EQU24_RS17215	fprA	FprA family A-type flavoprotein		
nif	EQU24_RS17210	fdxC	2Fe-2S iron-sulfur cluster binding domain-containing protein		
nif	EQU24_RS17205	fdxD	2Fe-2S iron-sulfur cluster binding domain-containing protein		
nif	EQU24_RS17200	nifQ	nitrogen fixation protein NifQ		
nif	EQU24_RS17170	nifE	nitrogenase iron-molybdenum cofactor biosynthesis protein NifE		
nif	EQU24_RS17165	nifN	nitrogenase iron-molybdenum cofactor biosynthesis protein NifN		
nif	EQU24_RS17160	nifX	nitrogen fixation protein NifX		
nif	EQU24_RS17155		NifX-associated nitrogen fixation protein		
nif	EQU24_RS17150		hypothetical protein		
nif	EQU24_RS17145	fdxB	"ferredoxin III, nif-specific"		
nif	EQU24_RS17140	nifW	hypothetical protein		
nif	EQU24_RS17135	nifZ	nitrogen fixation protein NifZ		
nif	EQU24_RS17130	nifM	nitrogen fixation protein NifM		
nif	EQU24_RS17125	clpX	ATP-dependent Clp protease ATP-binding subunit ClpX		
