locus_tag	LanzaTech	MeOH	NO3_lowO2_slow_growth	NoCu	NoLanthanum	WT_control	WithLanthanum	aa3_KO	crotonic_acid	highCu	highO2_slow_growth	lowCH4	lowCu	lowO2_fast_growth	lowO2_slow_growth	medCu	slow_growth	uMax	unknown	gene_symbol	product	type	sys	pc1	pc2	pc3	tsne1	tsne2
EQU24_RS00005	25.626702366037634	23.32315495393627	32.040357595132924	44.3386874439692	33.43402338096337	34.98845186962104	35.45218498981146	26.849582655257098	38.68402078069795	47.85147705304519	64.77450817110584	30.819331491212324	42.96355633677133	35.72618974773881	15.234856693099744	44.9108968090604	36.38722540842251	52.03588372288866	20.462976566994207	dnaA	chromosomal replication initiator protein DnaA	CDS	other	-0.24259674792874483	0.03279956310788549	0.007198861190137753	3.4690325	10.165356
EQU24_RS00010	55.71192029322236	18.905774727196654	43.6467600524759	59.61936022579053	43.679838974524166	38.272163111737484	41.782237005645776	45.48903451741968	52.50725637995066	79.09949018944977	98.99297032595169	33.522521524137105	61.19915492967121	43.14906598289509	22.827232405675616	65.00107407838546	48.95945597875212	59.981256801407596	20.75303837363064		DNA polymerase III subunit beta	CDS	other	-0.22466592878004973	0.02897355156163832	0.002133864827329751	-3.1141317	9.638032
EQU24_RS00015	11.804042334163299	18.443916496473854	21.341623174642613	28.258717491453552	23.16267468007413	15.49592986080506	20.634553795916162	11.962098800054466	33.132559434913574	33.524042821625855	44.84628095966271	18.481160484649045	28.81871330843729	27.315800166268144	10.081115933114413	29.40916495561791	17.054283718279947	33.93307585592701	12.24488482710672	recF	DNA replication/repair protein RecF	CDS	other	-0.25935425622900954	0.03680214288759623	0.009309719803107748	11.034661	5.924214
EQU24_RS00020	76.88033477306251	18.257804898195584	62.257686912594366	56.80831942340139	57.287046949437425	54.85502545391023	57.12016555999206	55.84665905927794	77.84963072747863	73.3204080130228	78.98775675176734	42.95364790516948	61.56332149621087	48.96606557881071	23.87817558973289	65.38316241567534	65.15082602572771	71.0424894545747	29.602255276455416	gyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	CDS	other	-0.21558390114595408	0.02142228881509854	0.007412983115620698	-2.5050929	7.5044293
EQU24_RS00025	43.73743829270682	16.950642914599776	41.674924821112306	49.829406262292	42.35707232639801	35.39678617403924	34.24833535160797	33.097352904367625	49.83724735696683	48.652213577338884	77.83226264186474	31.633505419548623	50.95679941510947	33.45318340835142	18.04900599681528	48.71995816161342	44.703673695318386	48.63808536250938	29.49443656094718		hypothetical protein	CDS	other	-0.23618486916450257	0.029925382091971025	0.006343128304572279	1.0545576	8.750976
EQU24_RS00030	27.940983173164927	12.367795335971895	31.911454563443993	38.384651829074876	41.93165678883247	26.81762282134671	46.19163700860065	28.71815535171595	37.33202121763875	33.976358810915755	56.616268132667415	24.29833361958444	31.309573759034034	26.684205162384057	14.686031366608406	26.307980882842628	35.83508959411545	31.447495852743497	7.16152863145835		DUF2283 domain-containing protein	CDS	other	-0.24974976402305032	0.028634288336764627	0.00865135304830265	5.121681	4.769056
EQU24_RS00035	35.296052677199995	43.80553600679294	57.83976836983544	81.52036193424736	102.50360142747188	59.55846573825539	110.71178097472884	50.24966442557268	69.67535547777828	92.98981764145023	97.71175592414743	74.93866293690019	75.03759316957165	72.495274788396	25.975507200965513	80.11474440695187	64.16846500900557	85.9580633877638	55.372947787589716		hypothetical protein	CDS	other	-0.19939787358986852	0.027921245571111992	0.0017916880011430653	-4.8703084	5.0056024
EQU24_RS00040	25.926724941135703	9.66094968077771	16.875694325486034	40.4919685893884	30.216787235482705	24.797994794738525	31.803805494934863	21.490714816619047	32.001866629998716	51.940784069228904	35.72553090955939	18.59189972550623	40.02867033509	15.420765492707375	5.592151740360414	39.23570488614007	35.765543251386696	21.537664963014564	8.114830573229238		TolC family protein	CDS	other	-0.2538390737116874	0.03157911054294111	0.009432064414546922	9.977931	6.7054787
EQU24_RS00045	23.461781401631963	7.292145208434635	14.916146504968804	36.56650026247317	19.452311850576145	27.925136573453003	19.428085735243958	24.790508347382453	35.856259566648035	50.360578934719776	28.798124922110397	12.925097648802428	35.32101939092993	12.585934256582407	3.8324503591567294	32.118273226591654	27.98215976262549	18.038460046255008	14.392426770437089		efflux RND transporter periplasmic adaptor subunit	CDS	other	-0.25802081729915616	0.03288101640107761	0.010928922142909291	10.195077	6.6305556
EQU24_RS00050	25.929208652529823	9.568569773287622	13.952268496293382	27.046153469946983	17.13896603617569	22.64028374197718	17.30428142753393	18.95550702945487	35.00846164742622	34.05171889550665	24.463514010063562	13.245455174439542	26.83808990969774	13.645688494221467	3.473942459388841	24.74297703240607	20.023705959911176	17.692985905039226	14.120932799838988		efflux RND transporter permease subunit	CDS	other	-0.2632072644852138	0.033610688752022014	0.012485381004890026	12.712913	3.3672056
EQU24_RS00055	18.298742951956577	7.658653734586495	10.911523580439024	22.840898771375247	17.376234679914962	17.04747851395514	16.79092387768241	14.680424513987353	28.215693576374406	23.9456050600308	18.840077499585462	12.22200281028814	22.575536955885063	10.583954273103576	2.3215537263653676	20.457921722315596	14.28206304113485	13.745832067252616	9.602518223950199		DUF3240 domain-containing protein	CDS	other	-0.2685246509298074	0.03460847903863856	0.012872106986524929	13.049054	0.05560506
EQU24_RS00060	13.125173047235219	10.710822500908986	23.01721104323359	27.154218177820173	34.36407141190152	23.993639152131777	32.70385449468141	21.542384895614198	22.955167763342786	29.00352959422769	19.510794403561807	12.882833409158966	25.958531210756455	27.222564948629753	12.775407964162993	25.759601409157842	30.058869020521485	27.203395089334716	11.33279061949521		bifunctional diguanylate cyclase/phosphodiesterase	CDS	other	-0.2600460069710746	0.031130640049754705	0.0144679869863995	11.316711	4.0023193
EQU24_RS00065	6.927414471860613	6.8361405693604	8.48675237485928	8.185910605683182	11.516745010341008	6.657714037383793	11.070078139635086	6.081712347408127	8.157903306923599	7.893095225366669	10.314330827566305	5.98880896000642	7.154310831566714	11.616348246525272	3.2708336054386606	7.948691144685317	8.441210955800127	11.849787933225747	8.073851046318945		DUF839 domain-containing protein	CDS	other	-0.2790114006342931	0.03567411621410297	0.016670797219450084	10.535186	-8.826251
EQU24_RS00070	3.496566691459202	1.7602894709903996	5.868548789195987	5.942884723035547	5.186304533083593	5.718565641936598	3.6670254652630114	5.0098782269261495	5.3410267493808465	8.497228514486816	8.370966383369613	2.9945012551030357	7.337625033647784	8.393570746676977	3.8029276225181827	5.4957462341191325	8.059703564560092	7.153624062770693	2.2365815730870158	tatA	twin-arginine translocase TatA/TatE family subunit	CDS	other	-0.2821870785850483	0.0359421846420477	0.016817603243791824	7.9193625	-10.973781
EQU24_RS00075	1.630322952661491	3.4496108392977676	5.028143606689865	4.448951339800367	4.9339557972701416	4.516300221678334	7.224862834367879	4.423686360155432	5.188985220296069	7.076183030452486	3.735898840033153	3.9593738237762306	6.018256850346562	6.835775622485279	3.7083406294914716	5.879550655897054	8.641138506891245	5.521781936836054	3.622712425084032	tatB	twin-arginine translocase subunit TatB	CDS	other	-0.282989696403005	0.036011965128384234	0.01759221748634055	7.082033	-11.028403
EQU24_RS00080	3.7089096770053844	7.229733216169306	7.381317872861584	10.561035492337487	11.339503604297093	4.577597859615963	13.075672940064653	4.826867605593071	8.714233110481842	9.115143344679284	13.142500548434628	6.946589266620791	8.847498861011314	7.527472335460879	3.288019888358786	8.982264908854168	6.5756660088387875	12.780711082045427	7.251412756325706		hypothetical protein	CDS	other	-0.27893312368690987	0.03673745257021225	0.015361270782391134	10.889739	-8.450594
EQU24_RS00085	40.673415097627135	27.542708736004162	41.51125183993516	49.95209297894473	53.94276041327439	43.622403526175574	46.65521541589019	44.493791040390896	81.39372731579294	71.13239897706885	65.05164448594401	37.57813394300459	52.09567921915866	41.05623232614874	14.570275140313782	66.41363116160444	25.94540485686824	69.51979329226658	32.19250252447837		prolipoprotein diacylglyceryl transferase	CDS	other	-0.22739353814883448	0.03268574388540659	0.004644378949587526	-0.9349868	9.76758
