locus_tag	gene_symbol	product	type	sys	LanzaTech	MeOH	NO3_lowO2_slow_growth	NoCu	NoLanthanum	WT_control	WithLanthanum	aa3_KO	crotonic_acid	highCu	highO2_slow_growth	lowCH4	lowCu	lowO2_fast_growth	lowO2_slow_growth	medCu	slow_growth	uMax	unknown	pc1	pc2	pc3	tsne1	tsne2
EQU24_RS00005	dnaA	chromosomal replication initiator protein DnaA	CDS	other	-1.0218561404831155	-1.1577404726069642	-0.6996148631076036	-0.2309402986628544	-0.6381883238985779	-0.572626660717588	-0.5536309994499213	-0.9546045786205951	-0.4277681308693546	-0.12094314261585656	0.31591876813606806	-0.7556693657601153	-0.2763928390225971	-0.5425235205607342	-1.772124216246909	-0.21244087187703348	-0.5160736031629825	0.0	-1.3464865486693711	1.5015762822138399	-0.5705119341980972	0.33446285581423957	1.8734188	7.877335
EQU24_RS00010		DNA polymerase III subunit beta	CDS	other	-0.10652552328710027	-1.6656795561590698	-0.45863628653626987	-0.00873084317304219	-0.45754331623136413	-0.6482149440620905	-0.5216209681706561	-0.398992170918785	-0.19199459565031496	0.3991560633015612	0.7228133808613413	-0.8393791823197376	0.0289999320404791	-0.4751814826335071	-1.3937518803341717	0.11595162004390762	-0.2929236828123206	0.0	-1.5311846337493917	0.4897068042985079	-0.8357892265172772	0.9149348309890319	0.64518917	3.9435127
EQU24_RS00015	recF	DNA replication/repair protein RecF	CDS	other	-1.5234032383408018	-0.8795435991015567	-0.6690197932910376	-0.2639953638972089	-0.5508883755008258	-1.130797821196752	-0.7176272270225512	-1.5042138612235418	-0.03444245250941621	-0.017496015971936528	0.40229510604367463	-0.8766333035177569	-0.23568553040592155	-0.31295549403144207	-1.7510268021514324	-0.20642573383758098	-0.9925538380387023	0.0	-1.4705054740784844	1.8083774003336717	-0.7125078566363771	-0.09305028853680355	2.8963912	8.931938
EQU24_RS00020	gyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	CDS	other	0.11393232693201838	-1.9601629429160898	-0.19042987390011715	-0.3225794043728559	-0.31047267835730463	-0.37305774105567624	-0.31468148123890094	-0.3472106083251414	0.13200788130078975	0.045532613949123356	0.152946708790355	-0.7259001495075845	-0.2066107536827556	-0.5368989413754626	-1.5729855142202673	-0.11976280314025928	-0.12489848315727604	0.0	-1.2629722011608324	0.6487684669735219	-0.11202124176737599	0.795644721839852	1.2670684	2.8918452
EQU24_RS00025		hypothetical protein	CDS	other	-0.1532173818503271	-1.520740899444152	-0.22290634594906203	0.03491087467749624	-0.19948312308074184	-0.4584669508508556	-0.5060513247192511	-0.5553692092412128	0.03513787709635588	0.0004190071144976167	0.6782807471347886	-0.6206314089588432	0.06718809189256687	-0.5399415874321738	-1.4301620246900433	0.002426451111261757	-0.1216927819131354	0.0	-0.7216416637136485	0.14427642303509466	-0.4975542328731934	0.4648070783595719	0.2534193	3.2734218
EQU24_RS00030		DUF2283 domain-containing protein	CDS	other	-0.17056177844919493	-1.3463497127312616	0.021129162590972916	0.2875835923293908	0.41509354688246297	-0.2297629896771845	0.5546850704966386	-0.1309816208858662	0.2474677568855427	0.11158576751001179	0.8482694769088858	-0.372086413700363	-0.006341252326845156	-0.23695828305910807	-1.0984953183001789	-0.2574437173847137	0.18842725916931993	0.0	-2.134590113970028	-0.5453818599070026	0.19783714586070988	0.4658214876383798	-4.192193	-0.48221356
EQU24_RS00035		hypothetical protein	CDS	other	-1.28412372138356	-0.9725181599225464	-0.5715703889147934	-0.07647243143460629	0.25396944357414036	-0.5293256459415058	0.36510348924344854	-0.7745178251156078	-0.302984129516787	0.1134396436597498	0.1848989650783719	-0.19792249561290248	-0.19601918117974995	-0.24574570398041495	-1.726477184272518	-0.10156507490756843	-0.42176793713275	0.0	-0.6344507265445054	0.45373210660954333	-0.4674122761519716	-0.3104557676721197	-2.2399416	6.323705
EQU24_RS00040		TolC family protein	CDS	other	0.26757699628403675	-1.156616692297201	-0.35191313509215855	0.9107708018706733	0.48848650531257154	0.20336073953500916	0.5623353932630675	-0.0031483618842188567	0.5712920214102908	1.2700020249201427	0.7300909443777253	-0.21218659240249998	0.8941687525387078	-0.4819848064882044	-1.945367333424286	0.865302251097441	0.7317058439254951	0.0	-1.4082178879042053	-1.944791228927224	-1.705997322199697	0.2963068770295636	-10.030411	1.8674691
EQU24_RS00045		efflux RND transporter periplasmic adaptor subunit	CDS	other	0.3792345293089559	-1.3066491987539028	-0.2741996336930622	1.019442322001755	0.10886486405357876	0.6304853247965347	0.10706700583415539	0.4587094967686429	0.9911448433386736	1.481213554798348	0.6748957109213853	-0.48089783597255537	0.9694468873542069	-0.5192604032579415	-2.234707524078276	0.8323146451954033	0.6334282968898677	0.0	-0.3257642822999027	-2.2953181797539908	-1.6075803252791028	0.5966860436824919	-10.07124	1.8642471
EQU24_RS00050		efflux RND transporter permease subunit	CDS	other	0.5513980456290184	-0.8867954130430119	-0.34267564603423706	0.6122430665333635	-0.04589720039750351	0.3557127164462045	-0.03204832380302774	0.09943896292752706	0.9845220939808129	0.9445461677833717	0.4674518541561144	-0.4176773806926006	0.6011016780523382	-0.3747299345849795	-2.348498403074729	0.4838392292417765	0.1785305210002563	0.0	-0.32534008490728483	-1.5923715175061017	-1.176635200243682	-0.0385864195643222	-10.1112585	1.8840765
