locus_tag	gene_symbol	product	type	sys	uMax	lowCH4	NoCu	lowCu	medCu	highCu	NO3_lowO2_slow_growth	highO2_slow_growth	lowO2_fast_growth	MeOH	NoLanthanum	WithLanthanum	pc1	pc2	pc3	tsne1	tsne2
EQU24_RS00005	dnaA	chromosomal replication initiator protein DnaA	CDS	other	0.23094029866285432	-0.5247290670972609	0.0	-0.04545254035974286	0.0184994267858208	0.10999715604699775	-0.4686745644447493	0.5468590667989223	-0.31158322189787985	-0.92680017394411	-0.4072480252357236	-0.32269070078706696	0.1291116550441183	0.7473087663914116	-0.13013720281067867	4.6081023	2.881918
EQU24_RS00010		DNA polymerase III subunit beta	CDS	other	0.00873084317304222	-0.8306483391466952	0.0	0.037730775213521285	0.12468246321694978	0.40788690647460324	-0.44990544336322785	0.7315442240343835	-0.46645063946046494	-1.6569487129860276	-0.448812473058322	-0.5128901249976138	-0.11436298396607775	1.0664658339655682	0.4779438972619421	2.3566306	9.390868
EQU24_RS00015	recF	DNA replication/repair protein RecF	CDS	other	0.2639953638972089	-0.6126379396205477	0.0	0.02830983349128748	0.05756963005962807	0.24649934792527245	-0.4050244293938287	0.6662904699408836	-0.048960130134233046	-0.6155482352043478	-0.2868930116036171	-0.45363186312534226	0.5073399159360817	0.9519473177099649	-0.04767355084031657	5.7885995	2.5031655
EQU24_RS00020	gyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	CDS	other	0.322579404372856	-0.40332074513472876	0.0	0.11596865069010028	0.20281660123259665	0.36811201832197904	0.1321495304727388	0.4755261131632112	-0.2143195370026066	-1.6375835385432338	0.012106726015551418	0.007897923133954918	0.6355713724238873	1.0323055540342343	0.728886629713694	7.6295924	5.715142
EQU24_RS00025		hypothetical protein	CDS	other	-0.03491087467749619	-0.6555422836363394	0.0	0.03227721721507069	-0.03248442356623459	-0.034491867562998414	-0.25781722062655826	0.6433698724572925	-0.5748524621096701	-1.555651774121648	-0.2343939977582382	-0.5409621993967475	-0.28746482952569546	0.6132807229185641	0.5239956035879025	-0.14225285	9.382814
EQU24_RS00030		DUF2283 domain-containing protein	CDS	other	-0.28758359232939085	-0.6596700060297538	0.0	-0.29392484465623603	-0.5450273097141044	-0.17599782481937906	-0.26645442973841804	0.5606858845794949	-0.5245418753884987	-1.6339333050606522	0.12750995455307226	0.26710147816724783	-0.8385660009917172	-0.8511634470962381	-0.5699137851337817	-7.693071	0.06308341
EQU24_RS00035		hypothetical protein	CDS	other	0.07647243143460643	-0.12145006417829603	0.0	-0.11954674974514355	-0.025092643472961928	0.18991207509435631	-0.4950979574801869	0.2613713965129784	-0.1692732725458086	-0.89604572848794	0.33044187500874683	0.44157592067805485	0.3884296827503013	0.2922226448350736	-0.4540613139987111	1.9216233	3.285627
EQU24_RS00040		TolC family protein	CDS	other	-0.9107708018706733	-1.1229573942731734	0.0	-0.01660204933196564	-0.04546855077323221	0.3592312230494692	-1.2626839369628318	-0.18067985749294793	-1.3927556083588777	-2.0673874941678743	-0.42228429655810173	-0.34843540860760575	-1.8207363305212312	0.8230707995256599	0.45804801681344937	-2.8140318	10.453117
EQU24_RS00045		efflux RND transporter periplasmic adaptor subunit	CDS	other	-1.019442322001755	-1.5003401579743105	0.0	-0.049995434647548104	-0.18712767680635176	0.46177123279659316	-1.2936419556948173	-0.34454661108036977	-1.5387027252596965	-2.326091520755658	-0.9105774579481763	-0.9123753161675996	-2.4640338845394516	0.9468672004859747	0.33293230086113473	-2.951341	10.609057
EQU24_RS00050		efflux RND transporter permease subunit	CDS	other	-0.6122430665333636	-1.0299204472259642	0.0	-0.01114138848102551	-0.12840383729158703	0.3323031012500083	-0.9549187125676009	-0.14479121237724918	-0.986973001118343	-1.4990384795763756	-0.6581402669308669	-0.6442913903363913	-1.340862709257696	0.9162638133344025	0.10235030143689477	-2.480901	9.910646
EQU24_RS00055		DUF3240 domain-containing protein	CDS	other	-0.7326210023387282	-0.9021332150985487	0.0	-0.016859044080087992	-0.1589590928615845	0.06814117807723086	-1.0657599554842112	-0.27781317987190485	-1.1097333723712512	-1.576444182189907	-0.3945019411958228	-0.44393553184309137	-1.5467496530311198	0.6463858529216582	0.2148425157391485	-2.6066628	9.914634
EQU24_RS00060		bifunctional diguanylate cyclase/phosphodiesterase	CDS	other	0.002610381156264529	-1.0757205102296945	0.0	-0.06496732629865239	-0.07606576814993694	0.09505181552264914	-0.2384623358426384	-0.4769017244629418	0.0036266667830239098	-1.342098898244643	0.33972353470089645	0.26828345512488044	-0.3333832374135841	0.3344932428279361	0.12046374332852981	-3.2466698	6.8431153
EQU24_RS00065		DUF839 domain-containing protein	CDS	other	0.5336409743000197	-0.4508673344660139	0.0	-0.1943275705559218	-0.04242506447406906	-0.05255110353275346	0.05206904669675302	0.333431771380896	0.504936588090638	-0.25995736913865886	0.4925131098348912	0.4354459969062429	0.9832117437439848	-0.020846608549780616	-0.7203096611287166	5.5233035	-5.175973
EQU24_RS00070	tatA	twin-arginine translocase TatA/TatE family subunit	CDS	other	0.2675067986310225	-0.9888237580405018	0.0	0.3041451711520053	-0.1128460321925665	0.5158216694958724	-0.01815930013805146	0.4942237458569942	0.49811420025008113	-1.7552930243655718	-0.19645293338553152	-0.6965380458122552	0.46012264440590167	1.319221255057313	1.0340013941431452	6.96895	5.8271346
EQU24_RS00075	tatB	twin-arginine translocase subunit TatB	CDS	other	0.31166229546344926	-0.16818902391822926	0.0	0.4358719052824461	0.4022326921587339	0.6694940061491187	0.17655680008545796	-0.25200373946592936	0.6196284010985138	-0.3670223088038168	0.14927628401316018	0.6994924197443488	1.84781044028987	1.8958604298884103	1.0140971138744095	12.427223	0.8766763
EQU24_RS00080		hypothetical protein	CDS	other	0.27521443793415973	-0.6043674855294145	0.0	-0.2554070738203483	-0.23359771806067445	-0.21241187927861452	-0.5167950853360701	0.31548581638450046	-0.48850838444798284	-0.5467306846334827	0.10260525321755551	0.30813127411872104	-0.17762805528839848	-0.2801562736394601	-0.8020557349866303	-3.3052018	-2.2567418
EQU24_RS00085		prolipoprotein diacylglyceryl transferase	CDS	other	0.47687785176354125	-0.4106507496723823	0.0	0.0606184746542007	0.4109335363125884	0.5099608322181769	-0.2670421011019919	0.38103973010279574	-0.28294326263339337	-0.858872327119506	0.11088400903278597	-0.09850656002500907	0.9055361249210274	1.3584688350875738	0.25598639418142166	8.648464	3.963451
EQU24_RS00090	thyA	thymidylate synthase	CDS	other	0.40538176407346677	-0.29507808004136415	0.0	-0.06059121859951675	-0.0008680800308226473	0.10643293312308412	0.014396785264086215	0.36546942828734164	-0.038716453850716995	-0.6013483415069204	0.7813986172592502	1.1569743704612723	0.9996090034003285	-0.04210257660660771	-0.11260329840339524	5.346047	-3.4845302
EQU24_RS00095		hypothetical protein	CDS	other	0.09452793515456805	-0.9245341151620832	0.0	-0.2588198261813804	-0.3040958621044332	-0.16040155632635972	0.01380752442784565	0.064381147450625	-0.4599447478343244	-0.9681670153876911	1.2282709228665218	1.732103707415308	-0.05139469636725187	-1.1784909901326606	-0.2838855424841144	-5.8790507	-8.365532
EQU24_RS00100		YchJ family protein	CDS	other	0.1872983902198106	-0.21661719803643634	0.0	-0.22483609256036677	-0.275270165126126	0.03233697341646729	-0.6672234206117689	0.16207361431668246	-0.33357918604580955	-0.7942626550256211	-0.8759197125653931	-1.130691803443657	-0.4532012232639164	0.6440498754544215	-1.1913554382626943	-1.4669611	5.221991
EQU24_RS00105	crp	cAMP-activated global transcriptional regulator CRP	CDS	other	-0.008230874281790956	-0.5562806532264222	0.0	-0.24286985438287323	-0.22947502151317092	0.16062160280965654	-1.0210966481252122	-0.4123733147936673	-0.6391465946897442	-1.8859127867553613	-1.119387521224647	-1.5053782381057377	-1.4868744918417383	0.9931709711110717	-0.8916919376947878	-4.1644163	10.323792
EQU24_RS00110		OsmC family protein	CDS	other	0.05211261055735634	-1.1223753092437538	0.0	-0.13669142824416963	0.11116247577700912	0.1477167908397106	-1.1183384206984266	-0.8749145699301175	-0.5146429086719156	-2.081989827686257	-1.8532302133902419	-2.0457215200096095	-1.8264586611030424	1.9578242385351214	-0.2970745260208731	5.1326175	11.374539
EQU24_RS00115	speD	adenosylmethionine decarboxylase	CDS	other	0.22049231551328374	-0.8516398578769866	0.0	0.03598205902773677	0.08184302349178042	0.4456679807117229	-1.3113267827275719	-0.5085287348475366	-0.29284207615599617	-1.795910295159094	-1.5681202385889927	-1.7717164630824134	-1.0772504885520693	2.1943404880341824	-0.12710396507284633	5.720082	10.875418
EQU24_RS00125		autotransporter outer membrane beta-barrel domain-containing protein	CDS	other	-0.5060717309850635	-0.30306820912483295	0.0	-0.18529833061220694	-0.4389620899753252	-0.41639224577856776	0.7425622620919018	0.29428588333028094	-0.6722121304392907	-1.3490932617487228	0.4206908412630116	0.3836195338825638	-0.4284079726805584	-0.923119133791976	-0.050189320057393905	-6.9300437	-3.7523263
EQU24_RS00130		hypothetical protein	CDS	other	-0.05000567335724115	-0.1487733914656899	0.0	-0.01172105950795342	-0.03493681346785756	-0.699485329634411	0.4423152057692258	1.1722535135088483	-0.16609630939947007	-0.5500963234129426	0.6258159312036506	0.9062512250052077	0.862592836771793	-0.5885640972161957	0.547360757027607	-0.32064113	-10.576037
EQU24_RS00135		DUF2807 domain-containing protein	CDS	other	0.3066753138276437	0.09111426978269366	0.0	-0.1441284629747758	-0.12574810247109797	-0.3018631363648066	0.29635215378060337	0.6890181424592567	0.1091090985673236	0.1337727887880981	0.576260480184962	0.7392986270433104	1.2146196998055505	-0.3886664836029918	-0.6295072851285899	3.1927702	-8.3879595
EQU24_RS00140		OmpA family protein	CDS	other	0.011835096404552374	-0.15088170696279335	0.0	-0.1365215055056995	-0.24687261898697502	-0.32197538968128947	0.45964394718459595	1.2885865172524218	-0.197112746418888	-0.7497326342083082	1.1327003527046833	1.4830467578222783	0.9654960353859932	-1.1628307596383443	0.04615068033095473	-1.1175903	-10.003461
EQU24_RS00145		hypothetical protein	CDS	other	-0.18085566631314406	-0.3328133857328544	0.0	-0.016802343974859014	-0.4963463504833228	0.10866013713645556	0.35330144544178893	0.8558434001786328	-0.4348803537317035	-0.721789748808994	0.7818139221500127	0.6076621179156476	0.46257679447616235	-0.6358500758646812	-0.07900554756689891	-2.5896022	-6.8455353
EQU24_RS00150		DUF4384 domain-containing protein	CDS	other	0.172139099310311	-0.34796202399152387	0.0	-0.02793227050428257	-0.3840647456913136	-0.4126580581149909	0.36218772814184136	1.2176838157420595	-0.35086002617148543	-0.6183655819937145	1.1554426671570028	1.2937572166435438	0.8122027116120675	-1.1190892366893972	0.28087214502327607	-0.9629445	-10.186833
EQU24_RS00155		hypothetical protein	CDS	other	-0.43212341106419294	-0.7234716465851108	0.0	-0.1902461662496795	-0.5629965888681846	-0.8261151368327613	-0.18207586923958358	0.5999742986935778	-0.5824894465918711	-0.7935983581966901	0.6722508473815738	1.014485248279134	-0.6332129360612266	-1.4503048944183798	-0.08322716407344156	-8.352999	-5.372876
EQU24_RS00160		hypothetical protein	CDS	other	-0.764411627458709	0.37520530842922134	0.0	-0.13538386610413083	-0.8687005527794025	-0.5162449435666366	0.3923530644109716	0.4453385727916342	-0.7089864945983644	-2.111035195854866	1.9152570594467166	2.3455405090526904	-0.2783036812200134	-2.313870522832828	0.24155584573649216	-10.089188	-7.874157
EQU24_RS00165		hypothetical protein	CDS	other	-0.13432055732148426	-0.4581337391831612	0.0	-0.35249287396846235	-0.568866490169649	-0.6053043840681713	-0.31604298707637823	0.8069164513498408	-0.6758887549534628	-0.555895949302684	0.9595500961394154	1.0956374748194448	-0.3034596656533992	-1.657715480673128	-0.8401226029760118	-8.739891	-5.345084
EQU24_RS00170		caspase family protein	CDS	other	-0.031071972478912174	-0.4584350208532423	0.0	-0.11676075045010824	-0.10692471702142443	0.08593446778504223	-0.003471059042258653	0.36043212751543907	-0.09359177503512799	-0.9401738306810259	0.28293732515846165	0.370358001985396	0.2972812421733733	0.039383678602058075	-0.228850763910007	2.1883237	-1.2781045
EQU24_RS00175		hypothetical protein	CDS	other	-1.2105781986569486	-2.0704856786188146	0.0	-0.7840593171270605	-1.2086194335967813	-1.0876436187726555	-0.6407642591836517	-0.3058172956898585	-1.4740612658620547	-2.2031718321684055	-0.08292991715154381	-0.3153213972771927	-4.024547742427328	-2.6254269118207403	-1.3945025325914806	-11.836458	5.345676
EQU24_RS00180		ISAzo13 family transposase	CDS	other	-0.06524920458984843	-0.813512104934127	0.0	-0.012538713612349001	0.13415068527589263	-0.27992326060655637	-0.26595824608715907	0.13047893552597367	-0.3461311105334631	-0.8102891661867686	1.6416374762133905	1.518055750985199	0.38723808996778003	-0.4195481495686946	0.6973616397416643	0.39220273	-5.382916
EQU24_RS00185		hypothetical protein	CDS	other	0.5652135656961736	-0.18821964531485572	0.0	-0.023933812129240856	-0.02371176339030421	0.2834279625053993	-0.272128617853165	0.7301649698081347	-0.11425778523522113	-0.029320768534455255	0.9543901948124436	0.9234208609800185	1.377714722397133	0.0952970192462346	-0.3786240432919278	7.121753	-4.3534055
EQU24_RS00190		hypothetical protein	CDS	other	0.5580073604016227	-0.6871492416951883	0.0	0.4739251814017229	0.6131928738575786	-0.34777218558277717	-0.7292528619651509	-0.3147917054499477	0.49748271729696825	0.21877339402048096	-0.10896167213043693	-0.3063610636059717	1.1250179092310035	2.2001838243803866	1.3922657419393394	11.641352	1.3909153
