	Tags	SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS00005|dnaA|chromosomal	chromosomal replication initiator protein DnaA	1317	20	0.0	94.75	5	F:GO:0003688; F:GO:0005524; C:GO:0005737; P:GO:0006270; P:GO:0006275	F:DNA replication origin binding; F:ATP binding; C:cytoplasm; P:DNA replication initiation; P:regulation of DNA replication			IPR020591 (PRINTS); IPR013159 (SMART); IPR003593 (SMART); IPR024633 (PFAM); G3DSA:3.40.50.300 (GENE3D); IPR013159 (PFAM); IPR013317 (PFAM); IPR001957 (TIGRFAM); G3DSA:1.10.8.60 (GENE3D); IPR038454 (G3DSA:3.30.300.GENE3D); IPR010921 (G3DSA:1.10.1750.GENE3D); PTHR30050 (PANTHER); IPR001957 (PTHR30050:PANTHER); IPR001957 (HAMAP); cd00009 (CDD); IPR013159 (CDD); IPR027417 (SUPERFAMILY); IPR010921 (SUPERFAMILY)	F:GO:0003677; F:GO:0003688; F:GO:0005524; P:GO:0006270; P:GO:0006275; F:GO:0043565	F:DNA binding; F:DNA replication origin binding; F:ATP binding; P:DNA replication initiation; P:regulation of DNA replication; F:sequence-specific DNA binding
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS00010||DNA	DNA polymerase III subunit beta	1101	20	0.0	89.35	8	F:GO:0003677; F:GO:0003887; C:GO:0005737; P:GO:0006260; F:GO:0008408; C:GO:0009360; P:GO:0071897; P:GO:0090305	F:DNA binding; F:DNA-directed DNA polymerase activity; C:cytoplasm; P:DNA replication; F:3'-5' exonuclease activity; C:DNA polymerase III complex; P:DNA biosynthetic process; P:nucleic acid phosphodiester bond hydrolysis	EC:2.7.7.7	DNA-directed DNA polymerase	IPR001001 (SMART); G3DSA:3.10.150.10 (GENE3D); IPR022634 (PFAM); IPR022637 (PFAM); IPR001001 (TIGRFAM); G3DSA:3.10.150.10 (GENE3D); IPR001001 (PIRSF); G3DSA:3.10.150.10 (GENE3D); IPR022635 (PFAM); IPR001001 (PANTHER); IPR001001 (CDD); SSF55979 (SUPERFAMILY); SSF55979 (SUPERFAMILY); SSF55979 (SUPERFAMILY)	F:GO:0003677; F:GO:0003887; P:GO:0006260; F:GO:0008408; C:GO:0009360	F:DNA binding; F:DNA-directed DNA polymerase activity; P:DNA replication; F:3'-5' exonuclease activity; C:DNA polymerase III complex
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS00015|recF|DNA	DNA replication/repair protein RecF	1080	20	0.0	80.63	6	F:GO:0003697; F:GO:0005524; C:GO:0005737; P:GO:0006260; P:GO:0006281; P:GO:0009432	F:single-stranded DNA binding; F:ATP binding; C:cytoplasm; P:DNA replication; P:DNA repair; P:SOS response			IPR042174 (G3DSA:1.20.1050.GENE3D); IPR003395 (PFAM); G3DSA:3.40.50.300 (GENE3D); IPR001238 (TIGRFAM); IPR001238 (PTHR32182:PANTHER); PTHR32182 (PANTHER); IPR001238 (HAMAP); IPR027417 (SUPERFAMILY)	F:GO:0003697; F:GO:0005524; P:GO:0006281	F:single-stranded DNA binding; F:ATP binding; P:DNA repair
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS00020|gyrB|DNA	DNA topoisomerase (ATP-hydrolyzing) subunit B	2415	20	0.0	94.67	8	F:GO:0003677; F:GO:0003918; F:GO:0005524; C:GO:0005694; C:GO:0005737; P:GO:0006261; P:GO:0006265; F:GO:0046872	F:DNA binding; F:DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity; F:ATP binding; C:chromosome; C:cytoplasm; P:DNA-dependent DNA replication; P:DNA topological change; F:metal ion binding	EC:3.6.1.3; EC:5.6.2.2; EC:3.6.1.15	Adenosinetriphosphatase; n/a; Nucleoside-triphosphate phosphatase	PR00418 (PRINTS); IPR000565 (PRINTS); IPR003594 (SMART); IPR001241 (SMART); IPR041423 (PFAM); IPR013506 (PFAM); IPR011557 (TIGRFAM); IPR006171 (PFAM); G3DSA:3.10.20.690 (GENE3D); IPR002288 (PFAM); IPR003594 (PFAM); IPR014721 (G3DSA:3.30.230.GENE3D); IPR013759 (G3DSA:3.40.50.GENE3D); IPR036890 (G3DSA:3.30.565.GENE3D); IPR013759 (G3DSA:3.40.50.GENE3D); PTHR45866 (PANTHER); PTHR45866:SF1 (PANTHER); IPR006171 (PROSITE_PROFILES); IPR011557 (HAMAP); cd00822 (CDD); cd16928 (CDD); IPR034160 (CDD); IPR020568 (SUPERFAMILY); IPR036890 (SUPERFAMILY); IPR013760 (SUPERFAMILY)	F:GO:0003677; F:GO:0003918; F:GO:0005524; C:GO:0005694; P:GO:0006265	F:DNA binding; F:DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity; F:ATP binding; C:chromosome; P:DNA topological change
true	[INTERPRO, BLASTED]	EQU24_RS00025||hypothetical	membrane protein	237	20	1.55016E-49	83.5						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	EQU24_RS00030||DUF2283	DUF2283 domain-containing protein	159	20	3.72113E-29	92.98						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	EQU24_RS00035||hypothetical	MULTISPECIES: hypothetical protein	384	5	4.95391E-62	91.06						mobidb-lite (MOBIDB_LITE)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS00040||TolC	TolC family protein	1257	20	0.0	84.76	2	F:GO:0015562; P:GO:0055085	F:efflux transmembrane transporter activity; P:transmembrane transport			IPR003423 (PFAM); G3DSA:1.20.1600.10 (GENE3D); PTHR30203 (PANTHER); PTHR30203:SF1 (PANTHER); SSF56954 (SUPERFAMILY)	F:GO:0015562; P:GO:0055085	F:efflux transmembrane transporter activity; P:transmembrane transport
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS00045||efflux	efflux RND transporter periplasmic adaptor subunit	1170	20	0.0	74.71	3	C:GO:0016020; F:GO:0022857; P:GO:0055085	C:membrane; F:transmembrane transporter activity; P:transmembrane transport			G3DSA:2.40.50.100 (GENE3D); IPR006143 (TIGRFAM); G3DSA:2.40.420.20 (GENE3D); IPR032317 (PFAM); G3DSA:1.10.287.470 (GENE3D); G3DSA:2.40.30.170 (GENE3D); PTHR30097 (PANTHER); SSF111369 (SUPERFAMILY)	C:GO:0016020; F:GO:0022857; P:GO:0055085	C:membrane; F:transmembrane transporter activity; P:transmembrane transport
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS00050||efflux	efflux RND transporter permease subunit	3066	20	0.0	90.28	5	F:GO:0004601; F:GO:0008324; C:GO:0016021; P:GO:0098655; P:GO:0098869	F:peroxidase activity; F:cation transmembrane transporter activity; C:integral component of membrane; P:cation transmembrane transport; P:cellular oxidant detoxification	EC:1.11.1.7	Peroxidase	IPR001036 (PRINTS); IPR027463 (G3DSA:3.30.2090.GENE3D); IPR027463 (G3DSA:3.30.2090.GENE3D); IPR004763 (TIGRFAM); G3DSA:3.30.70.1320 (GENE3D); IPR001036 (PFAM); G3DSA:3.30.70.1430 (GENE3D); G3DSA:1.20.1640.10 (GENE3D); G3DSA:3.30.70.1440 (GENE3D); G3DSA:3.30.70.1430 (GENE3D); G3DSA:1.20.1640.10 (GENE3D); PTHR32063:SF68 (PANTHER); IPR001036 (PANTHER); SSF82866 (SUPERFAMILY); IPR027463 (SUPERFAMILY); IPR027463 (SUPERFAMILY); SSF82693 (SUPERFAMILY); SSF82866 (SUPERFAMILY); SSF82693 (SUPERFAMILY)	P:GO:0006812; F:GO:0008324; C:GO:0016020; C:GO:0016021; F:GO:0022857; P:GO:0055085	P:cation transport; F:cation transmembrane transporter activity; C:membrane; C:integral component of membrane; F:transmembrane transporter activity; P:transmembrane transport
